,Name,Year,Scoring Average (Actual),Stroke Differential Field Average,Par 3 Birdie or Better Leaders,Par 4 Birdie or Better Leaders,Par 5 Birdie or Better Leaders,Par 3 Performance,Par 4 Performance,Par 5 Performance,Par Breakers,Birdie Average,Bounce Back,Birdie to Bogey Ratio,Birdie or Better Percentage,Bogey Avoidance,Reverse Bounce Back,Bogey Average,Driving Distance,Driving Accuracy Percentage,Good Drive Percentage,Total Driving,Ball Striking,Greens in Regulation Percentage,GIR Percentage from Fairway,GIR Percentage from Other than Fairway,Scrambling,One-Putt Percentage,1-Putts per Round,3-Putt Avoidance,3-Putts per Round,3+ Putts per Round,Putts Per Round,2-Putts per Round,Putting Average,Overall Putting Average,Birdie or Better Conversion Percentage
0,Tiger Woods,2001.0,68.0,4.29,12.5,30.0,56.25,3.06,3.8,4.44,31.94,5.75,57.14,3.29,31.94,9.72,23.81,1.75,305.5,71.43,91.07,20.0,4.0,83.33,90.0,68.75,66.67,37.5,6.75,5.56,1.0,0.0,30.25,10.25,1.75,1.681,3.83
1,David Duval,2001.0,68.5,3.79,18.75,27.5,56.25,3.06,3.85,4.44,31.94,5.75,37.5,2.88,31.94,11.11,9.09,1.75,290.9,69.64,87.5,31.0,19.0,72.22,82.05,58.82,65.0,45.83,8.25,4.17,0.75,0.0,28.5,9.0,1.712,1.583,4.42
2,Phil Mickelson,2001.0,68.75,3.54,18.75,27.5,68.75,3.13,3.85,4.44,34.72,6.25,50.0,2.5,34.72,13.89,12.5,2.0,277.6,64.29,83.93,59.0,53.0,70.83,80.56,55.0,61.9,45.83,8.25,4.17,0.75,0.0,28.0,8.75,1.667,1.556,4.9
3,Mark Calcavecchia,2001.0,69.5,2.79,12.5,27.5,31.25,2.94,3.83,4.88,25.0,4.5,14.29,2.57,25.0,9.72,0.0,1.5,284.8,69.64,85.71,37.0,24.0,72.22,76.92,52.94,75.0,45.83,8.25,4.17,0.75,0.0,28.5,9.0,1.731,1.583,3.46
4,Toshi Izawa,2001.0,69.5,2.79,12.5,17.5,62.5,3.06,4.03,4.25,26.39,4.0,27.27,1.58,26.39,16.67,5.56,3.0,286.4,78.57,92.86,11.0,17.0,70.83,86.36,66.67,57.14,37.5,6.75,4.17,0.75,0.0,29.0,10.0,1.745,1.611,3.14
5,Ernie Els,2001.0,69.75,2.54,6.25,15.0,50.0,3.0,4.0,4.44,20.83,3.25,0.0,1.88,20.83,11.11,13.33,2.0,281.5,73.21,87.5,27.0,41.0,63.89,60.98,53.33,73.08,40.28,7.25,2.78,0.5,0.0,28.25,9.75,1.804,1.569,2.83
6,Jim Furyk,2001.0,69.75,2.54,18.75,20.0,68.75,3.06,4.03,4.31,30.56,5.5,33.33,1.69,30.56,18.06,14.29,3.25,270.4,73.21,83.93,50.0,56.0,66.67,75.61,40.0,58.33,45.83,8.25,5.56,1.0,0.0,27.75,8.25,1.708,1.542,4.58
7,Bernhard Langer,2001.0,69.75,2.54,31.25,22.5,37.5,2.75,3.95,4.81,27.78,5.0,40.0,1.82,27.78,15.28,21.05,2.75,273.3,69.64,85.71,59.0,56.0,69.44,71.79,52.94,54.55,44.44,8.0,1.39,0.25,0.0,28.25,9.75,1.66,1.569,4.0
8,Kirk Triplett,2001.0,69.75,2.54,12.5,20.0,43.75,3.06,3.93,4.56,23.61,4.25,28.57,2.13,23.61,11.11,17.65,2.0,266.5,71.43,87.5,61.0,48.0,72.22,85.0,56.25,70.0,37.5,6.75,2.78,0.5,0.0,28.75,10.25,1.788,1.597,3.27
9,Ángel Cabrera,2001.0,70.0,2.29,31.25,15.0,56.25,2.88,4.0,4.63,27.78,5.0,11.11,2.0,27.78,13.89,10.53,2.0,301.1,60.71,89.29,46.0,31.0,77.78,85.29,72.73,50.0,40.28,7.25,4.17,0.75,0.0,29.5,10.0,1.696,1.639,3.57
10,Chris DiMarco,2001.0,70.0,2.29,31.25,17.5,43.75,2.69,4.03,4.75,26.39,4.75,45.45,1.73,26.39,15.28,22.22,2.75,278.3,62.5,80.36,58.0,70.0,63.89,74.29,47.62,61.54,48.61,8.75,1.39,0.25,0.0,27.0,8.75,1.63,1.5,4.13
11,Brad Faxon,2001.0,70.0,2.29,25.0,22.5,43.75,3.0,3.98,4.56,27.78,5.0,37.5,2.22,27.78,12.5,10.0,2.0,273.8,75.0,92.86,38.0,23.0,76.39,78.57,71.43,52.94,40.28,7.25,2.78,0.5,0.0,29.25,10.25,1.673,1.625,3.64
